#GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE	GO ASPECT
UniProtKB	O88623-2	Usp2	involved_in	GO:0032922	circadian regulation of gene expression	ECO:0000315	IMP	PMID:26756164		10090	UniProt	has_input(UniProtKB:Q99MJ6),occurs_in(UBERON:0001204)	20220204	P
UniProtKB	A0A8I6GKM8	Cnpy2	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1928477	10116	RGD	has_input(UniProtKB:Q8BM54)	20201016	P
UniProtKB	A0JN30	Cnpy2	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1928477	10116	RGD	has_input(UniProtKB:Q8BM54)	20201016	P
UniProtKB	F7F9V5	Cnpy2	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1928477	10116	RGD	has_input(UniProtKB:Q8BM54)	20201016	P
UniProtKB	Q9QXT0	Cnpy2	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:22378787		10090	BHF-UCL	has_input(UniProtKB:Q8BM54)	20201016	P
UniProtKB	D4A1R8	Cpne1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99829	10116	RGD	has_input(UniProtKB:Q04206)	20150330	P
UniProtKB	Q99829	CPNE1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:18212740		9606	UniProt	has_input(UniProtKB:Q04206)	20150330	P
UniProtKB	Q66HA2	Creb3l1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96BA8	10116	RGD	has_input(UniProtKB:P09038),occurs_in(CL:0002618)	20180313	P
UniProtKB	Q96BA8	CREB3L1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:27121396		9606	BHF-UCL	has_input(UniProtKB:P09038),occurs_in(CL:0002618)	20180313	P
UniProtKB	P46109	CRKL	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23959425		9606	ARUK-UCL	occurs_in(CL:0000125),has_input(UniProtKB:P14780)	20180517	P
UniProtKB	Q5U2U2	Crkl	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P46109	10116	RGD	occurs_in(CL:0000125),has_input(UniProtKB:P14780)	20180517	P
UniProtKB	Q02248	Ctnnb1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:19122665		10090	ParkinsonsUK-UCL	has_input(UniProtKB:Q62226),occurs_in(UBERON:0003079),part_of(GO:0071542)	20150901	P
UniProtKB	Q9WU82	Ctnnb1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:88276	10116	RGD	has_input(UniProtKB:Q62226),occurs_in(EMAPA:32684),part_of(GO:0071542)	20150901	P
UniProtKB	Q9WU82	Ctnnb1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23270756		10116	BHF-UCL	has_input(UniProtKB:P61374),part_of(GO:0071560),part_of(GO:0001837)	20170706	P
UniProtKB	P10145	CXCL8	acts_upstream_of_or_within	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:29048659		9606	ARUK-UCL	has_input(UniProtKB:P12830),part_of(GO:0060354)	20200526	P
UniProtKB	A0A8I6AKQ6	Ddrgk1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96HY6	10116	RGD	has_input(UniProtKB:P25963)	20161103	P
UniProtKB	D3ZAS9	Ddrgk1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96HY6	10116	RGD	has_input(UniProtKB:P25963)	20161103	P
UniProtKB	Q96HY6	DDRGK1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23675531		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P25963)	20161103	P
UniProtKB	D3ZEY4	Dgkq	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P52824	10116	RGD	has_input(UniProtKB:P08686)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P08686)	20161111	P
UniProtKB	E9PU15	Dicer1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPY3	10116	RGD	has_input(UniProtKB:P52797),occurs_in(CL:2000008)	20190312	P
UniProtKB	Q4G034	Dicer1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPY3	10116	RGD	has_input(UniProtKB:P52797),occurs_in(CL:2000008)	20190312	P
UniProtKB	Q9UPY3	DICER1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23322395		9606	ARUK-UCL	has_input(UniProtKB:P52797),occurs_in(CL:2000008)	20190312	P
UniProtKB	E9PU15	Dicer1	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPY3	10116	RGD	has_input(UniProtKB:O60603),occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	20190704	P
UniProtKB	Q4G034	Dicer1	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UPY3	10116	RGD	has_input(UniProtKB:O60603),occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	20190704	P
UniProtKB	Q9UPY3	DICER1	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:22105995		9606	ARUK-UCL	has_input(UniProtKB:O60603),occurs_in(CL:0000214),occurs_in(UBERON:0007616),occurs_in(UBERON:0001485)	20190704	P
UniProtKB	D3ZHH1	Dll4	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9NR61	10116	RGD	has_input(UniProtKB:P27361)|occurs_in(CL:0002618)|has_input(UniProtKB:P28482)|has_input(UniProtKB:P35968)	20141114	P
UniProtKB	Q9NR61	DLL4	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:23388056		9606	UniProt	has_input(UniProtKB:P27361)|occurs_in(CL:0002618)|has_input(UniProtKB:P28482)|has_input(UniProtKB:P35968)	20141114	P
UniProtKB	P26358	DNMT1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:27021683		9606	BHF-UCL	has_input(UniProtKB:P04179),occurs_in(CL:0002591)	20180326	P
UniProtKB	Q9Z330	Dnmt1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P26358	10116	RGD	has_input(UniProtKB:P04179),occurs_in(CL:0002591)	20180326	P
UniProtKB	P22388	Edn1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:28484848		10116	BHF-UCL	has_input(UniProtKB:O88275),occurs_in(CL:0002591)	20180509	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),part_of(GO:1901203),has_input(UniProtKB:P33434)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q61879),occurs_in(CL:0000186),negatively_regulates(GO:0001775)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q3UP87),occurs_in(CL:0000775),part_of(GO:1901203)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q01995),occurs_in(CL:0000186),negatively_regulates(GO:0001775)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q00731),negatively_regulates(GO:0048010),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P62737),occurs_in(CL:0000186),negatively_regulates(GO:0001775)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P62736),occurs_in(CL:0000186),negatively_regulates(GO:0001775)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P49766),negatively_regulates(GO:0048010),negatively_regulates(GO:0001525)	20180814	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P49765),negatively_regulates(GO:0048010),negatively_regulates(GO:0001525)	20180814	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P41245),positively_regulates(GO:0085029)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P37804),occurs_in(CL:0000186),negatively_regulates(GO:0001775)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P35580),occurs_in(CL:0000186),negatively_regulates(GO:0001775)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P17948),negatively_regulates(GO:0048010),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P15692),part_of(GO:0048010),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P14780),positively_regulates(GO:0085029)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P08253),positively_regulates(GO:0085029)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P08246),occurs_in(CL:0000775),positively_regulates(GO:0085029)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:A0A0R4J0A4),negatively_regulates(GO:0048010),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:Q64729)	20180814	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P36897)	20180814	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P17047)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P13473)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P04202)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P01137)	20180327	P
UniProtKB	A0A8I6AGS7	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1926189	10116	RGD	occurs_in(EMAPA:17870),part_of(GO:0003180),has_input(UniProtKB:Q64729)	20180814	P
UniProtKB	D3Z9E1	Emilin1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1926189	10116	RGD	occurs_in(EMAPA:17870),part_of(GO:0003180),has_input(UniProtKB:Q64729)	20180814	P
UniProtKB	Q63961	Eng	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:12941632		10090	BHF-UCL	occurs_in(UBERON:0006296),has_input(UniProtKB:Q64314)	20160628	P
UniProtKB	P17813	ENG	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63961	9606	BHF-UCL	occurs_in(UBERON:0006296),has_input(UniProtKB:P28906)	20160628	P
UniProtKB	A0A8I6A813	Eng	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95392	10116	RGD	occurs_in(EMAPA:16829),has_input(UniProtKB:Q64314)	20160628	P
UniProtKB	A0A8I6GL08	Eng	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95392	10116	RGD	occurs_in(EMAPA:16829),has_input(UniProtKB:Q64314)	20160628	P
UniProtKB	M0RA19	Eng	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95392	10116	RGD	occurs_in(EMAPA:16829),has_input(UniProtKB:Q64314)	20160628	P
UniProtKB	Q3KR75	Eng	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95392	10116	RGD	occurs_in(EMAPA:16829),has_input(UniProtKB:Q64314)	20160628	P
UniProtKB	Q6Q3E8	Eng	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95392	10116	RGD	occurs_in(EMAPA:16829),has_input(UniProtKB:Q64314)	20160628	P
UniProtKB	P30040	ERP29	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:22064321		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P05556)|has_input(UniProtKB:Q03405)|has_input(UniProtKB:P00533)|has_input(UniProtKB:P30279)	20141209	P
UniProtKB	P52555	Erp29	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P30040	10116	RGD	has_input(UniProtKB:P05556)|has_input(UniProtKB:Q03405)|has_input(UniProtKB:P00533)|has_input(UniProtKB:P30279)	20141209	P
UniProtKB	P03372	ESR1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:21695196		9606	UniProt	has_input(UniProtKB:Q12794)	20120206	P
UniProtKB	P06211	Esr1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P03372	10116	RGD	has_input(UniProtKB:Q12794)	20120206	P
UniProtKB	Q969H0	FBXW7	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000316	IGI	PMID:23823476	RNAcentral:URS00001CC379_9606	9606	BHF-UCL	has_input(UniProtKB:Q12772),regulates_o_occurs_in(GO:0005634)	20180723	P
UniProtKB	D3Z902	Fbxw7	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q969H0	10116	RGD	has_input(UniProtKB:P36956),regulates_o_occurs_in(GO:0005634)	20180723	P
UniProtKB	Q969H0	FBXW7	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23823476		9606	BHF-UCL	has_input(UniProtKB:P36956),regulates_o_occurs_in(GO:0005634)	20180723	P
UniProtKB	O95750	FGF19	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:19085950		9606	UniProt	has_input(UniProtKB:P22680)|occurs_in(CL:0000182)	20160705	P
UniProtKB	Q8VI81	Fgf19	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:O95750	10116	RGD	has_input(UniProtKB:P22680)|occurs_in(CL:0000182)	20160705	P
UniProtKB	P09038	FGF2	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000303	NAS	PMID:24463821		9606	BHF-UCL	has_output(UniProtKB:P35052),has_input(UniProtKB:P35052),occurs_in(CL:0002618),causally_upstream_of(GO:0040037)	20200214	P
UniProtKB	P09038	FGF2	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000303	NAS	PMID:24463821		9606	BHF-UCL	has_output(UniProtKB:P11362),has_input(UniProtKB:P11362),occurs_in(CL:0002618),causally_upstream_of(GO:0040037)	20200214	P
UniProtKB	Q76JQ2	Flcn	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2442184	10116	RGD	has_input(UniProtKB:Q9CR84)|has_input(UniProtKB:P12787)|has_input(UniProtKB:P62897)|has_input(UniProtKB:O70571)|has_input(UniProtKB:Q8K3J1)|has_input(UniProtKB:P56501)|has_input(UniProtKB:O70343)|has_input(UniProtKB:P49766)|has_input(UniProtKB:O35608)|has_input(UniProtKB:P35639)	20130130	P
UniProtKB	Q8QZS3	Flcn	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23150719		10090	UniProt	has_input(UniProtKB:Q9CR84)|has_input(UniProtKB:P12787)|has_input(UniProtKB:P62897)|has_input(UniProtKB:O70571)|has_input(UniProtKB:Q8K3J1)|has_input(UniProtKB:P56501)|has_input(UniProtKB:O70343)|has_input(UniProtKB:P49766)|has_input(UniProtKB:O35608)|has_input(UniProtKB:P35639)	20130130	P
UniProtKB	Q14254	FLOT2	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:24612608		9606	UniProt	has_input(UniProtKB:P56817)	20140613	P
UniProtKB	Q9Z2S9	Flot2	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q14254	10116	RGD	has_input(UniProtKB:P56817)	20140613	P
UniProtKB	Q498D1	Foxp1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9H334	10116	RGD	has_input(UniProtKB:P20273)	20181107	P
UniProtKB	Q9H334	FOXP1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:30111844		9606	ARUK-UCL	has_input(UniProtKB:P20273)	20181107	P
UniProtKB	A0A0G2KAY0	Gas2l1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99501|UniProtKB:Q99501-1|UniProtKB:Q99501-2	10116	RGD	has_input(UniProtKB:P23769)|has_input(UniProtKB:P10721)	20111027	P
UniProtKB	D3ZR69	Gas2l1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99501|UniProtKB:Q99501-1|UniProtKB:Q99501-2	10116	RGD	has_input(UniProtKB:P23769)|has_input(UniProtKB:P10721)	20111027	P
UniProtKB	Q99501-1	GAS2L1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:19375645		9606	UniProt	has_input(UniProtKB:P23769)|has_input(UniProtKB:P10721)	20111027	P
UniProtKB	Q99501-2	GAS2L1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:19375645		9606	UniProt	has_input(UniProtKB:P23769)|has_input(UniProtKB:P10721)	20111027	P
UniProtKB	P23769	GATA2	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:27780851		9606	BHF-UCL	has_input(RNAcentral:URS0000245997_9606),occurs_in(CL:0002618)	20210107	P
UniProtKB	Q924Y4	Gata2	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P23769	10116	RGD	has_input(RNAcentral:URS0000245997_9606),occurs_in(CL:0002618)	20210107	P
UniProtKB	P46152	Gata4	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:95664	10116	RGD	occurs_in(CL:0000746),has_input(UniProtKB:O54918)	20210428	P
UniProtKB	Q08369	Gata4	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:25590961		10090	BHF-UCL	occurs_in(CL:0000746),has_input(UniProtKB:O54918)	20210428	P
UniProtKB	Q08369	Gata4	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000314	IDA	PMID:25590961		10090	BHF-UCL	occurs_in(CL:0000746),has_input(UniProtKB:O08586)	20160428	P
UniProtKB	Q9BWX5	GATA5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97489	9606	BHF-UCL	has_input(UniProtKB:Q06330),occurs_in(UBERON:0000948),part_of(GO:0003180)	20180511	P
UniProtKB	P97489	Gata5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:21633169		10090	BHF-UCL	has_input(UniProtKB:P40753),occurs_in(UBERON:0002094),part_of(GO:0003180)	20180511	P
UniProtKB	P97489	Gata5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:21633169		10090	BHF-UCL	has_input(UniProtKB:P40753),occurs_in(UBERON:0002084),part_of(GO:0003180)	20180511	P
UniProtKB	P97489	Gata5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:21633169		10090	BHF-UCL	has_input(UniProtKB:P31266),occurs_in(UBERON:0000948),part_of(GO:0003180)	20180511	P
UniProtKB	Q5U2V0	Gata5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:109497	10116	RGD	has_input(UniProtKB:P31266),occurs_in(EMAPA:16105),part_of(GO:0003180)	20180511	P
UniProtKB	Q9BWX5	GATA5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97489	9606	BHF-UCL	has_input(UniProtKB:P16860),occurs_in(UBERON:0002094),part_of(GO:0003180)	20180511	P
UniProtKB	Q9BWX5	GATA5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97489	9606	BHF-UCL	has_input(UniProtKB:P16860),occurs_in(UBERON:0002084),part_of(GO:0003180)	20180511	P
UniProtKB	P97489	Gata5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:21633169		10090	BHF-UCL	has_input(UniProtKB:P05125),occurs_in(UBERON:0002094),part_of(GO:0003180)	20180511	P
UniProtKB	P97489	Gata5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:21633169		10090	BHF-UCL	has_input(UniProtKB:P05125),occurs_in(UBERON:0002084),part_of(GO:0003180)	20180511	P
UniProtKB	Q9BWX5	GATA5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97489	9606	BHF-UCL	has_input(UniProtKB:P01160),occurs_in(UBERON:0002094),part_of(GO:0003180)	20180511	P
UniProtKB	Q9BWX5	GATA5	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97489	9606	BHF-UCL	has_input(UniProtKB:P01160),occurs_in(UBERON:0002084),part_of(GO:0003180)	20180511	P
UniProtKB	O08878	Gper1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99527	10116	RGD	has_input(UniProtKB:P14635)	20151105	P
UniProtKB	Q99527	GPER1	involved_in	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:23840305		9606	AgBase	has_input(UniProtKB:P14635)	20151105	P
UniProtKB	P18266	Gsk3b	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P49841	10116	RGD	has_input(UniProtKB:Q01860)	20210702	P
UniProtKB	P49841	GSK3B	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:28122350		9606	ARUK-UCL	has_input(UniProtKB:Q01860)	20210702	P
UniProtKB	P49841	GSK3B	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:28122350		9606	ARUK-UCL	has_input(UniProtKB:P48431)	20210702	P
UniProtKB	P49841	GSK3B	acts_upstream_of	GO:0010629	negative regulation of gene expression	ECO:0000315	IMP	PMID:27050373		9606	ARUK-UCL	has_input(UniProtKB:P38936)	20210705	P
